AGE,SEX,SCHL,WORK,INCOME
43,남,전문학사,기업,22900
23,여,전문학사,기업,12000
42,여,고졸,기업,16200
42,남,중졸이하,기업,14000
33,여,전문학사,기업,30000
36,남,학사,기업,80000
29,남,고졸,기업,13200
41,남,고졸,기업,13200
35,남,고졸,기업,14200
41,여,중졸이하,기업,16000
33,여,고졸,비영리단체,17500
36,여,석사,공무원,42000
37,여,고졸,자영업,25000
27,남,고졸,기업,16000
49,여,중졸이하,기업,23000
42,여,고졸,공무원,60000
34,여,전문학사,기업,20000
30,여,석사,기업,70000
50,여,고졸,공무원,30700
27,남,고졸,기업,50000
29,여,전문학사,기업,30000
25,남,중졸이하,기업,33000
37,남,전문학사,기업,20000
49,여,전문학사,비영리단체,53000
25,남,학사,기업,30000
33,남,전문학사,자영업,36000
49,여,고졸,기업,17000
23,여,전문학사,기업,24000
29,남,고졸,공무원,49000
31,여,학사,비영리단체,28000
27,여,학사,비영리단체,28000
23,남,중졸이하,기업,12000
46,남,중졸이하,기업,57500
29,남,박사,기업,92300
49,남,중졸이하,공무원,32000
48,남,전문학사,공무원,68330
40,여,석사,공무원,80000
34,남,전문학사,기업,45000
30,여,전문학사,기업,47000
29,여,학사,공무원,42000
20,남,고졸,기업,20000
47,남,석사,비영리단체,71500
45,여,학사,공무원,63000
49,남,전문학사,기업,25000
27,여,고졸,기업,11100
28,남,중졸이하,기업,7200
33,여,학사,기업,33100
49,남,고졸,기업,40000
45,남,학사,기업,50030
45,여,전문학사,공무원,25600
32,남,고졸,공무원,65000
38,남,학사,자영업,28000
38,여,학사,비영리단체,42000
37,남,전문학사,기업,55000
48,남,전문학사,자영업,65000
47,여,고졸,비영리단체,42000
28,남,고졸,비영리단체,25000
20,여,고졸,기업,30000
41,여,전문학사,기업,18000
20,남,중졸이하,기업,30000
45,남,중졸이하,기업,45000
23,여,전문학사,기업,30000
39,여,전문학사,기업,52000
41,남,석사,기업,120900
37,여,석사,공무원,58000
38,여,전문학사,공무원,50000
30,남,고졸,기업,26000
35,남,전문학사,기업,16800
49,남,전문학사,기업,21000
26,남,전문학사,공무원,58000
24,여,전문학사,비영리단체,36000
26,여,전문학사,공무원,45000
34,여,학사,공무원,65000
33,여,학사,기업,80000
46,여,석사,공무원,100000
42,여,학사,공무원,53000
43,남,학사,공무원,95
25,남,학사,기업,30000
20,남,고졸,기업,19200
29,남,석사,기업,113200
25,여,학사,공무원,43000
45,남,전문학사,기업,43000
50,남,전문학사,기업,85000
42,남,전문학사,기업,48000
49,남,고졸,기업,61000
30,남,전문학사,공무원,36800
32,남,전문학사,공무원,130000
25,여,전문학사,기업,25000
29,남,학사,기업,58200
36,여,석사,비영리단체,55000
32,여,전문학사,기업,26200
35,남,고졸,기업,39200
32,여,전문학사,공무원,37000
40,여,학사,기업,130000
41,남,중졸이하,기업,12000
39,여,중졸이하,기업,16000
